"Guid","Name","SBQQ__Action__c","SBQQ__Active__c","SBQQ__BrandButton__c","SBQQ__Class__c","SBQQ__ConditionsMet__c","SBQQ__Default__c","SBQQ__Description__c","SBQQ__DisplayOrder__c","SBQQ__EventHandlerName__c","SBQQ__IconClass__c","SBQQ__Icon__c","SBQQ__Label__c","SBQQ__Location__c","SBQQ__PageHandlerName__c","SBQQ__Page__c","SBQQ__ReturnURL__c","SBQQ__TargetObject__c","SBQQ__Type__c","SBQQ__URLTarget__c","SBQQ__URL__c"
6d37b8f2-a73c-4b37-8b17-53ea95827367,Amend Assets,Amend Assets,true,false,"#N/A",All,false,"#N/A",920.0,"#N/A","#N/A","#N/A",Amend Assets,Account Panel,AssetSelectorAmend,Account Detail,"#N/A","#N/A",Button,"#N/A","#N/A"
6e78f430-794d-4324-8916-cb6dbf4339f2,View,View,true,false,"#N/A",All,false,"#N/A",960.0,"#N/A","#N/A","#N/A",View,Quote Document Panel,ViewDocument,Quote Document Detail,"#N/A","#N/A",Button,"#N/A","#N/A"
70e932fa-ca3e-49a5-831d-46ad25ee1a7c,Cancel,Cancel,true,false,cancelBtn,All,false,"#N/A",915.0,onCancel,"#N/A","#N/A",Cancel,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
717ea7c4-b041-4755-9d88-d0a6bfb0394d,Desegment Line,Desegment Line,true,false,desegmentBtn,All,false,"#N/A",995.0,onDesegmentLine,sf-icon-magicwand,magicwand,Desegment Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
75ef9f17-8267-4020-a83f-7359e7c6204e,Test,"#N/A",false,false,"#N/A",All,false,"#N/A",1.0,"#N/A","#N/A","#N/A",Add Products,"#N/A","#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
7606ef46-9a4e-4b1b-8cba-d66782369461,Reset Discounts - Group,Reset Discounts,true,false,resetDiscBtn,All,false,"#N/A",950.0,onResetDiscounts,"#N/A","#N/A",Reset Discounts,Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
7a6922b7-3d2c-413c-a50a-396a858471a9,Delete Line,Delete Line,true,false,deleteBtn,All,false,"#N/A",992.0,onDeleteLine,sf-icon-delete,delete,Delete Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
7ac60449-ff9a-4fa2-9c10-29566dbbe7c7,Delete Line,Delete Line,true,false,deleteBtn,All,false,"#N/A",994.0,onDeleteLine,sf-icon-delete,delete,Delete Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
7d2bef60-1b7a-4c64-86cd-75a83e1e0441,Preview Document,Preview Document,true,false,"#N/A",All,false,"#N/A",917.0,"#N/A","#N/A","#N/A",Preview Document,Quote Panel,PreviewDocument,Quote Detail,"#N/A","#N/A",Button,"#N/A","#N/A"
7f415002-70d0-46b3-a5a6-e2ea2d88ced8,Add Group,Add Group,true,false,addGroupBtn,All,false,"#N/A",915.0,onAddGroup,"#N/A","#N/A",Add Group,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Menu,"#N/A","#N/A"
83640c8f-faa3-43f8-9875-475137fd5f57,CPQ_PA__PriceAnalyzer,"#N/A",true,false,"#N/A",All,false,View Price Analyzer,999.0,"#N/A",sf-icon-chart,chart,View,Line,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,Popup,/apex/cpq-pa__PriceAnalyzer?SBQQ__Product_c={!SBQQ__Product__c}&SBQQ__Quantity__c={!SBQQ__Quantity__c}&SBQQ__NetPrice__c={!SBQQ__NetPrice__c}
855a46bd-681d-4737-8035-f29880c0b29f,Separator,"#N/A",true,false,"#N/A",All,false,"#N/A",911.0,"#N/A",sbToolSeparator,"#N/A",Add Products,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Separator,"#N/A","#N/A"
90f3c058-c600-4b45-8053-1152ab2763c4,Einstein Data Discovery,"#N/A",true,false,"#N/A",All,false,"#N/A",999.0,"#N/A",sf-icon-notification,notification,Einstein Discovery,Line,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,Popup,https://atomicsecurity--c.na73.visual.force.com/apex/EinsteinDataDiscoveryQuoteLine?Id={!Id}
9209e0c1-2862-40d3-939e-66bb9980a5de,Clone Line,Clone Line,true,false,cloneBtn,All,false,"#N/A",993.0,onCloneLine,sf-icon-copy,copy,Clone Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
9610313e-ad4d-4794-89f9-66d7a1389c97,Renew Subscriptions,Renew Subscriptions,true,false,renewSubscriptionsBtn,All,false,"#N/A",903.0,onRenewSubscriptions,"#N/A","#N/A",Renew Subscriptions,Quote/Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
96a27d86-cd1f-4699-ba9b-f6c1c0fbd351,Clone with Related,Clone with Related,true,false,"#N/A",All,false,"#N/A",910.0,"#N/A","#N/A","#N/A",Clone with Related,Quote Panel,CloneLineItems,Quote Detail,"#N/A","#N/A",Button,"#N/A","#N/A"
9b0d6230-c39c-43fe-a587-7822d5111fd8,Delete Lines,Delete Lines,true,false,deleteLinesBtn,All,false,"#N/A",914.0,onDeleteLines,"#N/A","#N/A",Delete Lines,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
a2abe46d-3a6f-4037-9921-71c66cb21fe5,View Discount Schedule,View Discount Schedule,true,false,viewDSBtn,All,false,"#N/A",997.0,showDSModal,sf-icon-discountscheduleicons-02,discountscheduleicons-02,View Discount Schedule,Line,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
a781b0bc-5772-4a84-bccd-f242571c5c7f,Generate Document,Generate Document,true,false,"#N/A",All,false,"#N/A",913.0,"#N/A","#N/A","#N/A",Generate Document,Quote Panel,GenerateDocument,Quote Detail,"#N/A","#N/A",Button,"#N/A","#N/A"
a864d459-53c3-4ecd-b8a7-4d77b02b15c1,Edit Order Products,Edit Order Products,true,false,"#N/A",All,false,"#N/A",950.0,"#N/A","#N/A","#N/A",Edit Order Products,Order Panel,OrderLineSelector,Order Detail,"#N/A","#N/A",Button,"#N/A","#N/A"
aa05b9d3-f233-4844-87b4-877d0255c0bd,Save,Save,true,true,saveBtn,All,false,"#N/A",916.0,onSave,"#N/A","#N/A",Save,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
abc7a8a8-5de8-44f5-b712-d727eb6d37a8,Optional: None - Group,Optional: None,true,false,optionalNoneBtn,All,false,"#N/A",953.0,updateLineOptional,"#N/A","#N/A",Optional: None,Group,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
b8d2e9ac-2f78-4b45-9554-5ccf447a502f,Optional: All - Quote,Optional: All,true,false,optionalAllBtn,All,false,"#N/A",909.0,updateLineOptional,sb-icon-circle-empty,circle-empty,Optional: All,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
be1b6440-1fd6-4f84-8597-78b9aa5bb936,View Rate Card,View Rate Card,false,false,viewRateCardBtn,All,false,"#N/A",998.0,onViewRateCard,sf-icon-trending,trending,View Rate Card,Line,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
bf6b180c-7762-49f8-bd24-6cdc089eb64f,Cancel,Cancel,true,false,cancelBtn,All,false,"#N/A",907.0,onCancel,"#N/A","#N/A",Cancel,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
c2fdb5e8-322f-4e66-8211-2601e8287b27,Separator,"#N/A",true,false,"#N/A",All,false,"#N/A",904.0,"#N/A",sbToolSeparator,"#N/A",Add Products,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Separator,"#N/A","#N/A"
c3798428-fb6c-4f82-b22b-89d623d09d22,View Consumption Schedule,View Consumption Schedule,true,false,viewConsumptionScheduleBtn,All,false,"#N/A",998.0,onViewConsumptionSchedule,sf-icon-paired-lines,paired-lines,View Consumption Schedule,Line,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
c3c63c33-afcf-433c-b601-cbb365f96656,Reconfigure Line,Reconfigure Line,true,false,reconfigureBtn,All,false,"#N/A",994.0,onReconfigureLine,sf-icon-custom_apps,custom_apps,Reconfigure Line,Line,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
c69cf0be-e14e-4189-8391-6ff7a9af265f,Quick Save,Quick Save,true,false,quickSaveBtn,All,false,"#N/A",912.0,onQuickSave,"#N/A","#N/A",Quick Save,Quote,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
c7fee854-2761-4a42-901f-032bea4381cf,Test,"#N/A",false,false,"#N/A",All,false,"#N/A",4.0,"#N/A","#N/A","#N/A",Add Products,"#N/A","#N/A",Quote Line Editor,"#N/A","#N/A","#N/A","#N/A","#N/A"
c8a7ec01-93f2-4d11-84e0-a786fdd3a6a6,Remove From Favorites,Remove From Favorites,true,false,removeFromFavBtn,All,false,"#N/A",991.0,onRemoveFromFavorites,sb-icon-star,star,Remove From Favorites,Line,"#N/A",Quote Line Editor,"#N/A","#N/A",Button,"#N/A","#N/A"
